product,sku,decoration,qty_break,price_per_unit_cad
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,40,28.08
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,50,27.23
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,72,26.06
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,75,25.93
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,100,25.13
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,144,24.71
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,150,24.67
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,200,24.44
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,250,23.86
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,300,23.33
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,350,22.84
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,500,21.42
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,750,20.48
Gildan Heavy Blend Hoodie,GILDAN18500,screen_print_1color,1000,20.43
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,1,75.17
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,2,49.41
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,3,40.84
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,5,33.97
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,10,28.81
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,12,27.96
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,15,27.09
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,20,25.23
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,25,23.77
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,30,22.76
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,40,21.44
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,50,20.62
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,72,19.53
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,75,19.42
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,100,18.71
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,144,18.28
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,150,18.24
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,200,18.00
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,250,17.55
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,300,17.14
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,350,16.76
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,500,15.70
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,750,15.00
Gildan Heavy Blend Crewneck,GILDAN18000,screen_print_1color,1000,14.95
Solid 12in Cuffed Beanie,SP12,embroidery_1location,1,109.55
Solid 12in Cuffed Beanie,SP12,embroidery_1location,2,62.18
Solid 12in Cuffed Beanie,SP12,embroidery_1location,3,46.38
Solid 12in Cuffed Beanie,SP12,embroidery_1location,5,33.75
Solid 12in Cuffed Beanie,SP12,embroidery_1location,10,24.27
Solid 12in Cuffed Beanie,SP12,embroidery_1location,12,22.69
Solid 12in Cuffed Beanie,SP12,embroidery_1location,15,21.12
Solid 12in Cuffed Beanie,SP12,embroidery_1location,20,19.53
Solid 12in Cuffed Beanie,SP12,embroidery_1location,25,18.58
Solid 12in Cuffed Beanie,SP12,embroidery_1location,30,17.91
Solid 12in Cuffed Beanie,SP12,embroidery_1location,40,17.03
Solid 12in Cuffed Beanie,SP12,embroidery_1location,50,16.47
Solid 12in Cuffed Beanie,SP12,embroidery_1location,72,15.73
Solid 12in Cuffed Beanie,SP12,embroidery_1location,75,15.65
Solid 12in Cuffed Beanie,SP12,embroidery_1location,100,15.14
Solid 12in Cuffed Beanie,SP12,embroidery_1location,144,14.86
Solid 12in Cuffed Beanie,SP12,embroidery_1location,150,14.84
Solid 12in Cuffed Beanie,SP12,embroidery_1location,200,14.68
Solid 12in Cuffed Beanie,SP12,embroidery_1location,250,14.34
Solid 12in Cuffed Beanie,SP12,embroidery_1location,300,14.02
Solid 12in Cuffed Beanie,SP12,embroidery_1location,350,13.72
Solid 12in Cuffed Beanie,SP12,embroidery_1location,500,12.87
Solid 12in Cuffed Beanie,SP12,embroidery_1location,750,12.31
Solid 12in Cuffed Beanie,SP12,embroidery_1location,1000,12.28
Yupoong Classic Dad Cap,6245CM,embroidery_1location,1,116.55
Yupoong Classic Dad Cap,6245CM,embroidery_1location,2,69.17
Yupoong Classic Dad Cap,6245CM,embroidery_1location,3,53.37
Yupoong Classic Dad Cap,6245CM,embroidery_1location,5,40.74
Yupoong Classic Dad Cap,6245CM,embroidery_1location,10,31.26
Yupoong Classic Dad Cap,6245CM,embroidery_1location,12,29.69
Yupoong Classic Dad Cap,6245CM,embroidery_1location,15,28.10
Yupoong Classic Dad Cap,6245CM,embroidery_1location,20,26.53
Yupoong Classic Dad Cap,6245CM,embroidery_1location,25,25.56
Yupoong Classic Dad Cap,6245CM,embroidery_1location,30,24.87
Yupoong Classic Dad Cap,6245CM,embroidery_1location,40,23.96
Yupoong Classic Dad Cap,6245CM,embroidery_1location,50,23.38
Yupoong Classic Dad Cap,6245CM,embroidery_1location,72,22.54
Yupoong Classic Dad Cap,6245CM,embroidery_1location,75,22.46
Yupoong Classic Dad Cap,6245CM,embroidery_1location,100,21.86
Yupoong Classic Dad Cap,6245CM,embroidery_1location,144,21.58
Yupoong Classic Dad Cap,6245CM,embroidery_1location,150,21.56
Yupoong Classic Dad Cap,6245CM,embroidery_1location,200,21.41
Yupoong Classic Dad Cap,6245CM,embroidery_1location,250,20.93
Yupoong Classic Dad Cap,6245CM,embroidery_1location,300,20.49
Yupoong Classic Dad Cap,6245CM,embroidery_1location,350,20.07
Yupoong Classic Dad Cap,6245CM,embroidery_1location,500,18.85
Yupoong Classic Dad Cap,6245CM,embroidery_1location,750,18.04
Yupoong Classic Dad Cap,6245CM,embroidery_1location,1000,18.01
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,1,63.40
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,2,37.64
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,3,29.06
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,5,22.19
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,10,17.04
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,12,16.18
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,15,15.32
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,20,13.45
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,25,12.00
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,30,11.01
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,40,9.77
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,50,9.00
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,72,8.05
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,75,7.96
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,100,7.39
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,144,6.97
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,150,6.93
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,200,6.70
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,250,6.45
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,300,6.25
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,350,6.07
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,500,5.64
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,750,5.35
Q-Tees Economical Tote,QTEES-TOTE,screen_print_1color,1000,5.31
